,0
loan_amnt,35000.0
funded_amnt,35000.0
funded_amnt_inv,35000.0
int_rate,28.99
installment,1424.57
annual_inc,8706582.0
dti,39.99
delinq_2yrs,29.0
inq_last_6mths,33.0
mths_since_last_delinq,999.0
mths_since_last_record,999.0
open_acc,76.0
pub_rec,15.0
revol_bal,1746716.0
revol_util,892.3
total_acc,150.0
out_prncp,35000.0
out_prncp_inv,35000.0
total_pymnt,57777.5798702
total_pymnt_inv,57777.58
total_rec_prncp,35000.03
total_rec_int,22777.58
total_rec_late_fee,358.68
recoveries,33520.27
collection_recovery_fee,7002.19
last_pymnt_amnt,36475.59
mths_since_last_major_derog,999.0
open_il_6m,18.0
mths_since_rcnt_il,999.0
total_bal_il,249212.0
il_util,129.2
open_rv_24m,21.0
max_bal_bc,22279.0
all_util,102.8
total_cu_tl,21.0
emp_length_clean,10.0
